City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
209,Ngunguru,-35.6167,174.5,72.16,72,94,16.17,NZ,overcast clouds
210,Lerwick,60.1545,-1.1494,39.2,97,100,17.76,GB,overcast clouds
211,Tulsa,36.1001,-95.9003,62.49,22,0,1.01,US,clear sky
212,Sechura,-5.5569,-80.8222,78.98,61,68,15.14,PE,broken clouds
213,Elizabeth City,36.2946,-76.2511,39.02,38,0,5.75,US,clear sky
214,Savannah Bight,16.45,-85.85,72.0,65,88,14.29,HN,overcast clouds
215,Santo Domingo,18.5001,-69.9886,87.44,71,20,5.01,DO,few clouds
216,Necochea,-38.5473,-58.7368,70.03,67,85,19.39,AR,overcast clouds
217,Ler,8.3018,30.1418,76.62,21,96,5.46,SS,overcast clouds
218,Dunedin,-45.8742,170.5036,66.79,72,0,8.99,NZ,clear sky
219,Gigmoto,13.7796,124.39,76.86,88,45,8.93,PH,scattered clouds
220,Biak,-0.9131,122.8766,75.88,82,98,5.86,ID,overcast clouds
221,Bubaque,11.2833,-15.8333,78.13,70,42,13.42,GW,scattered clouds
222,Makat,47.6469,53.3463,30.79,94,100,9.86,KZ,overcast clouds
223,Tuy Hoa,13.0833,109.3,73.17,89,37,2.71,VN,scattered clouds
224,Waingapu,-9.6567,120.2641,78.13,83,100,10.45,ID,overcast clouds
225,Airai,-8.9266,125.4092,60.76,91,78,3.96,TL,broken clouds
226,Hofn,64.2539,-15.2082,26.11,50,0,23.24,IS,clear sky
227,San Miguelito,9.0333,-79.5,89.42,40,40,7.0,PA,scattered clouds
228,Cherskiy,68.75,161.3,-26.73,98,99,1.45,RU,overcast clouds
229,Yuanping,38.7153,112.7575,18.73,35,0,7.72,CN,clear sky
230,Abha,18.2164,42.5053,55.65,41,0,11.5,SA,clear sky
231,Chaozhou,23.6651,116.6379,48.79,73,28,4.0,CN,scattered clouds
232,Souillac,-20.5167,57.5167,78.37,85,100,15.37,MU,light rain
233,Norman Wells,65.282,-126.8329,-12.6,96,99,6.85,CA,overcast clouds
234,Kontagora,10.3999,5.4695,77.9,9,100,11.23,NG,overcast clouds
235,Taoudenni,22.6783,-3.9836,74.57,14,87,14.7,ML,overcast clouds
236,Upernavik,72.7868,-56.1549,-2.63,70,100,9.42,GL,overcast clouds
237,Chimbarongo,-34.7,-71.05,83.28,17,0,8.43,CL,clear sky
238,Cervo,43.6702,-7.4101,49.33,85,44,11.16,ES,scattered clouds
239,Aberdeen,57.1437,-2.0981,45.09,72,75,18.41,GB,broken clouds
240,Komsomolskiy,40.4272,71.7189,31.42,60,100,2.75,UZ,overcast clouds
241,Alyangula,-13.8483,136.4192,82.17,77,100,19.66,AU,overcast clouds
242,Mao,39.8885,4.2658,48.76,87,0,6.91,ES,clear sky
243,Bambui,-20.0064,-45.9769,73.56,85,100,3.65,BR,heavy intensity rain
244,Demba,-5.51,22.2667,69.24,84,93,3.02,CD,overcast clouds
245,Murray Bridge,-35.1167,139.2667,72.32,83,1,3.24,AU,clear sky
246,Port-Gentil,-0.7193,8.7815,81.32,80,91,8.55,GA,overcast clouds
247,Yarada,17.65,83.2667,71.44,73,1,2.93,IN,clear sky
248,Comodoro Rivadavia,-45.8667,-67.5,62.46,34,40,11.5,AR,scattered clouds
249,Provost,52.3501,-110.2683,32.49,89,64,3.51,CA,broken clouds
250,Cedar Falls,42.5278,-92.4455,23.58,68,100,1.01,US,overcast clouds
251,Fuyu,45.1833,124.8167,-7.4,100,6,1.32,CN,clear sky
252,Dolores,-36.3132,-57.6792,82.99,49,49,8.7,AR,scattered clouds
253,Shimoda,34.6667,138.95,36.1,65,98,8.3,JP,overcast clouds
254,Shingu,33.7333,135.9833,35.31,79,56,7.0,JP,broken clouds
255,Kieta,-6.2167,155.6333,80.71,84,100,6.46,PG,overcast clouds
256,Cizre,37.3272,42.1903,36.34,77,25,4.83,TR,scattered clouds
257,Creel,27.75,-107.6333,52.83,34,67,22.68,MX,broken clouds
258,Saint-Philippe,-21.3585,55.7679,78.39,81,48,12.24,RE,scattered clouds
259,Putina,-15.4667,-69.4333,52.27,68,83,9.98,PE,broken clouds
260,Muros,42.7762,-9.0603,52.84,63,0,3.98,ES,clear sky
261,Roald,62.5833,6.1333,33.33,86,75,9.22,NO,broken clouds
262,Gizo,-8.103,156.8419,82.96,76,100,8.66,SB,light rain
263,Kamenka,51.3223,42.7678,26.74,94,100,13.09,RU,overcast clouds
264,Peniche,39.3558,-9.3811,58.08,65,21,6.31,PT,few clouds
265,Mercedes,-34.6515,-59.4307,88.86,28,1,6.04,AR,clear sky
266,Nanortalik,60.1432,-45.2371,17.19,81,100,16.33,GL,light snow
267,Kurumkan,54.3,110.3,-16.98,95,82,3.49,RU,broken clouds
268,Tigil,57.8,158.6667,31.62,67,100,29.1,RU,overcast clouds
269,Ballina,-28.8667,153.5667,73.44,98,63,7.52,AU,broken clouds
270,Havre-Saint-Pierre,50.2334,-63.5986,8.96,78,100,16.11,CA,overcast clouds
271,Bethel,41.3712,-73.414,25.68,45,0,1.01,US,clear sky
272,Iqaluit,63.7506,-68.5145,-23.91,97,91,4.68,CA,overcast clouds
273,Minna,9.6139,6.5569,79.99,9,97,12.24,NG,overcast clouds
274,Gat,31.61,34.7642,50.4,100,0,4.65,IL,clear sky
275,Los Llanos De Aridane,28.6585,-17.9182,60.55,78,7,7.0,ES,clear sky
276,Guerrero Negro,27.9769,-114.0611,65.34,52,100,15.03,MX,overcast clouds
277,Sao Joao Da Barra,-21.6403,-41.0511,84.29,88,6,10.4,BR,clear sky
278,Mujiayingzi,42.1167,118.7833,17.42,82,100,5.19,CN,light snow
279,San Cristobal,7.7669,-72.225,71.78,57,95,4.81,VE,light rain
280,Erzin,36.9559,36.2,45.12,80,83,5.91,TR,broken clouds
281,Aban,56.67,96.06,-12.41,100,77,2.46,RU,broken clouds
282,Fairbanks,64.8378,-147.7164,-18.4,72,0,0.0,US,clear sky
283,Half Moon Bay,37.4636,-122.4286,65.73,75,0,1.99,US,clear sky
284,Gore,-46.1028,168.9436,65.23,82,63,0.69,NZ,broken clouds
285,Khoy,38.5504,44.9535,16.75,78,34,5.93,IR,scattered clouds
286,Sorong,-0.8833,131.25,81.1,77,100,10.49,ID,overcast clouds
287,Caravelas,-17.7125,-39.2481,80.37,81,11,11.86,BR,few clouds
288,Peleduy,59.6289,112.7406,-4.92,98,100,3.38,RU,overcast clouds
289,Shelton,41.3165,-73.0932,26.96,47,0,1.01,US,clear sky
290,Dores Do Indaia,-19.4633,-45.6017,74.16,85,98,4.68,BR,overcast clouds
291,Kimbe,-5.5502,150.1429,77.14,93,100,1.05,PG,overcast clouds
292,Srednekolymsk,67.45,153.6833,-25.56,99,100,4.18,RU,overcast clouds
293,Saldanha,-33.0117,17.9442,65.5,91,99,9.57,ZA,overcast clouds
294,Krasnoselkup,65.7,82.4667,0.73,95,98,7.92,RU,overcast clouds
295,Beyneu,45.3167,55.2,33.03,80,100,15.99,KZ,overcast clouds
296,Inhambane,-23.865,35.3833,75.16,81,88,8.1,MZ,overcast clouds
297,Olinda,-8.0089,-34.8553,83.93,70,40,9.22,BR,scattered clouds
298,Khatanga,71.9667,102.5,-6.81,98,99,9.93,RU,overcast clouds
299,Bilibino,68.0546,166.4372,-12.51,95,72,5.39,RU,broken clouds
300,Redmond,47.674,-122.1215,56.32,82,100,4.0,US,overcast clouds
301,Waipawa,-41.4122,175.5153,67.3,73,75,6.93,NZ,broken clouds
302,Miles City,46.4083,-105.8406,48.51,49,100,8.05,US,overcast clouds
303,Cascais,38.6979,-9.4215,58.05,39,0,5.01,PT,clear sky
304,Zmeinogorsk,51.1567,82.195,10.99,94,97,5.88,RU,overcast clouds
305,Shaping,22.7545,112.9565,51.94,44,99,8.84,CN,overcast clouds
306,Paita,-5.0892,-81.1144,79.36,70,78,15.43,PE,broken clouds
307,Hirado,33.3597,129.5531,43.36,47,5,14.34,JP,clear sky
308,Manta,-0.95,-80.7333,76.78,83,100,4.61,EC,overcast clouds
309,Bonavista,48.6499,-53.1147,41.11,70,100,35.57,CA,overcast clouds
310,Cockburn Town,21.4612,-71.1419,74.84,74,89,20.89,TC,overcast clouds
311,Santo Augusto,-27.8508,-53.7772,86.07,34,41,7.09,BR,scattered clouds
312,San Andres,12.5847,-81.7006,82.42,69,75,10.36,CO,broken clouds
313,Husavik,66.0449,-17.3389,22.62,63,47,30.13,IS,scattered clouds
314,Lakes Entrance,-37.8811,147.981,68.58,95,55,3.04,AU,broken clouds
315,Corpus Christi,27.8006,-97.3964,72.3,66,100,5.99,US,overcast clouds
316,Kikwit,-5.041,18.8162,76.35,71,100,0.89,CD,overcast clouds
317,Gijon,43.5357,-5.6615,47.44,91,19,4.47,ES,few clouds
318,Cabo San Lucas,22.8909,-109.9124,80.91,55,20,1.01,MX,few clouds
319,Varkkallai,8.7341,76.7067,80.38,84,5,3.58,IN,clear sky
320,Borovskoy,53.8,64.15,1.72,97,62,6.87,KZ,broken clouds
321,Vao,-22.6667,167.4833,79.02,86,100,5.75,NC,overcast clouds
322,Shaki,41.0833,47.1667,36.39,49,15,4.0,AZ,few clouds
323,Westport,41.1415,-73.3579,27.05,42,0,3.0,US,clear sky
324,Sao Filipe,14.8961,-24.4956,71.42,73,100,12.8,CV,overcast clouds
325,Aldan,58.6031,125.3894,-13.52,99,100,3.38,RU,overcast clouds
326,Koutiala,12.3917,-5.4642,80.49,11,17,9.31,ML,few clouds
327,Calbuco,-41.768,-73.1273,63.61,51,91,2.71,CL,overcast clouds
328,Zalantun,48.0,122.7167,-5.28,87,3,7.2,CN,clear sky
329,Yenagoa,4.9247,6.2642,75.76,60,65,4.38,NG,broken clouds
330,Waitati,-45.75,170.5667,66.79,72,0,4.34,NZ,clear sky
331,Coquimbo,-29.9533,-71.3436,67.73,72,0,12.66,CL,clear sky
332,Balotra,25.8333,72.2333,63.27,60,0,8.48,IN,clear sky
333,Banda Aceh,5.5577,95.3222,76.53,84,70,7.0,ID,broken clouds
334,Ouesso,1.6136,16.0517,73.27,29,100,1.61,CG,overcast clouds
335,Ramhormoz,31.28,49.6035,53.94,35,70,5.64,IR,broken clouds
336,Crestview,30.7621,-86.5705,63.14,38,0,8.99,US,clear sky
337,Kawalu,-7.3817,108.2082,72.5,95,100,2.89,ID,overcast clouds
338,Quelimane,-17.8786,36.8883,75.06,85,4,3.09,MZ,clear sky
339,Remedios,22.4947,-79.5458,65.32,51,24,12.44,CU,few clouds
340,Galanesti,47.9167,25.8,39.22,82,100,17.92,RO,overcast clouds
341,Ishigaki,24.3448,124.1572,63.14,63,15,27.56,JP,few clouds
342,Wukari,7.85,9.7833,78.62,14,72,8.57,NG,broken clouds
343,Nantucket,41.2835,-70.0995,24.91,57,20,9.22,US,few clouds
344,Salalah,17.0151,54.0924,69.89,73,0,3.44,OM,clear sky
