City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
52,Ejura,7.3856,-1.3562,78.89,23,66,2.62,GH,2022-01-29 00:09:56
53,Pevek,69.7008,170.3133,-12.44,98,57,1.97,RU,2022-01-29 00:09:56
54,Kapaa,22.0752,-159.319,81.12,76,0,1.99,US,2022-01-29 00:08:33
55,Tasiilaq,65.6145,-37.6368,15.96,69,48,6.64,GL,2022-01-29 00:09:57
56,Tuktoyaktuk,69.4541,-133.0374,-16.89,93,42,14.76,CA,2022-01-29 00:09:57
57,Puerto Ayora,-0.7393,-90.3518,74.25,82,63,8.25,EC,2022-01-29 00:09:58
58,Ugoofaaru,5.6667,73.0,81.86,69,28,16.13,MV,2022-01-29 00:09:58
59,San Patricio,28.017,-97.5169,57.18,41,50,8.21,US,2022-01-29 00:09:59
60,Clyde River,70.4692,-68.5914,-9.17,77,100,43.73,CA,2022-01-29 00:10:00
61,Bilma,18.6853,12.9164,58.24,19,0,9.04,NE,2022-01-29 00:10:00
62,Bambous Virieux,-20.3428,57.7575,77.22,80,19,7.45,MU,2022-01-29 00:10:01
63,Severo-Kurilsk,50.6789,156.125,23.63,74,100,28.27,RU,2022-01-29 00:08:58
64,Korla,41.7597,86.1469,20.3,67,0,4.9,CN,2022-01-29 00:10:02
65,Jamestown,42.097,-79.2353,16.09,51,100,9.22,US,2022-01-29 00:09:00
66,Imbituba,-28.24,-48.6703,70.83,80,100,6.17,BR,2022-01-29 00:10:03
67,Busselton,-33.65,115.3333,77.04,50,39,9.15,AU,2022-01-29 00:10:04
68,Longyearbyen,78.2186,15.6401,4.84,78,0,16.11,SJ,2022-01-29 00:10:05
69,Barrow,71.2906,-156.7887,-5.78,71,100,16.11,US,2022-01-29 00:10:05
70,Provideniya,64.3833,-173.3,0.72,97,20,2.64,RU,2022-01-29 00:10:06
71,Pyaozerskiy,65.8333,31.1667,6.96,96,89,5.57,RU,2022-01-29 00:10:06
72,Lagoa,39.05,-27.9833,57.87,59,62,11.48,PT,2022-01-29 00:10:07
73,Lookan,5.037,120.1027,82.13,74,48,5.03,PH,2022-01-29 00:10:07
74,Pisco,-13.7,-76.2167,69.85,73,20,16.11,PE,2022-01-29 00:10:08
75,Kuito,-12.3833,16.9333,59.83,97,100,3.94,AO,2022-01-29 00:10:09
76,Ribeira Grande,38.5167,-28.7,58.69,61,78,6.91,PT,2022-01-29 00:10:10
77,Faanui,-16.4833,-151.75,81.5,73,9,15.84,PF,2022-01-29 00:10:10
78,Wisconsin Rapids,44.3836,-89.8174,15.35,37,100,9.22,US,2022-01-29 00:10:11
79,Hithadhoo,-0.6,73.0833,80.29,66,53,7.94,MV,2022-01-29 00:10:11
80,Auki,-8.7676,160.7034,78.48,88,98,5.73,SB,2022-01-29 00:10:12
81,Decatur,39.8403,-88.9548,21.06,79,0,6.91,US,2022-01-29 00:10:13
82,Mataura,-46.1927,168.8643,75.13,29,97,5.79,NZ,2022-01-29 00:10:13
83,Shelburne,44.0787,-80.2041,2.57,98,40,3.94,CA,2022-01-29 00:09:27
84,Pontes E Lacerda,-15.2261,-59.3353,74.28,96,94,2.08,BR,2022-01-29 00:10:14
85,Katsuura,35.1333,140.3,45.1,70,100,7.85,JP,2022-01-29 00:09:14
86,Ust-Kuyga,70.0167,135.6,-24.74,100,96,1.28,RU,2022-01-29 00:10:15
87,Kuytun,54.3419,101.5036,-24.12,100,96,2.19,RU,2022-01-29 00:10:16
88,Kavaratti,10.5669,72.642,80.6,71,18,9.4,IN,2022-01-29 00:10:17
89,Matagami,49.7502,-77.6328,-13.4,96,74,5.1,CA,2022-01-29 00:10:17
90,Lorengau,-2.0226,147.2712,81.77,81,98,5.23,PG,2022-01-29 00:10:14
91,Verkhoyansk,67.5447,133.385,-36.71,100,85,2.93,RU,2022-01-29 00:11:18
92,Saldanha,-33.0117,17.9442,63.63,82,0,16.96,ZA,2022-01-29 00:11:19
93,Cap Malheureux,-19.9842,57.6142,77.47,82,4,3.0,MU,2022-01-29 00:11:19
94,Castro,-24.7911,-50.0119,60.19,99,100,9.01,BR,2022-01-29 00:11:20
95,Carnarvon,-24.8667,113.6333,77.07,83,40,13.8,AU,2022-01-29 00:11:20
96,Vaini,-21.2,-175.2,82.56,79,98,18.45,TO,2022-01-29 00:11:21
97,Gornopravdinsk,60.05,69.9,-6.84,100,100,4.0,RU,2022-01-29 00:11:22
98,Dicabisagan,17.0818,122.4157,77.9,84,18,4.99,PH,2022-01-29 00:11:23
99,Holovyne,50.4712,28.8253,29.93,89,99,19.71,UA,2022-01-29 00:11:23
100,Kayes,14.0,-11.0,81.21,11,37,6.91,ML,2022-01-29 00:11:25
101,Ventspils,57.3894,21.5606,33.73,64,0,10.36,LV,2022-01-29 00:09:26
102,Bubaque,11.2833,-15.8333,78.33,65,24,16.8,GW,2022-01-29 00:11:25
103,Georgetown,5.4112,100.3354,79.9,89,20,0.0,MY,2022-01-29 00:11:26
